District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Head district,51.57607015,-0.08524000965140796,New River Studios,51.57484776395148,-0.08798988683904155,Performing Arts Venue
Head district,51.57607015,-0.08524000965140796,Florentina Fitness,51.57616238734363,-0.08906331142197545,Gym
Head district,51.57607015,-0.08524000965140796,gurbet supermarket,51.577885,-0.082615,Grocery Store
Head district,51.57607015,-0.08524000965140796,No.8 Seven Sisters,51.57838773297095,-0.08206039068722927,Hostel
Head district,51.57607015,-0.08524000965140796,Amhurst Hotel,51.5746087006855,-0.07941086393393891,Hotel
Head district,51.57607015,-0.08524000965140796,Paignton Park,51.57756192124965,-0.07888232720188836,Park
Bethnal Green,51.5272449,-0.054751999999999995,Second Shot,51.52741157015986,-0.056625380024357616,Coffee Shop
Bethnal Green,51.5272449,-0.054751999999999995,Mother Kelly's Bottle Shop and Tap Room,51.52841340778298,-0.05584270159248104,Beer Bar
Bethnal Green,51.5272449,-0.054751999999999995,Old Street Brewery & Taproom,51.52694979790773,-0.056425817912283925,Brewery
Bethnal Green,51.5272449,-0.054751999999999995,Renegade London Wine,51.527004720063,-0.05638127099145621,Wine Bar
Bethnal Green,51.5272449,-0.054751999999999995,Yoga Place E2,51.52736452183718,-0.05769669549080574,Yoga Studio
Bethnal Green,51.5272449,-0.054751999999999995,Carmel By The Green,51.526906100086755,-0.05559005290059095,Coffee Shop
Bethnal Green,51.5272449,-0.054751999999999995,Quarantacinque,51.52781658028719,-0.051613759730433625,Coffee Shop
Bethnal Green,51.5272449,-0.054751999999999995,Satan's Whiskers,51.52958839622787,-0.05599732597767542,Cocktail Bar
Bethnal Green,51.5272449,-0.054751999999999995,Sager + Wilde,51.528442708740535,-0.055771475889397196,Restaurant
Bethnal Green,51.5272449,-0.054751999999999995,Arepa & Co,51.528670141037544,-0.05613726930287605,Arepa Restaurant
Bethnal Green,51.5272449,-0.054751999999999995,The Beehive,51.528416,-0.055739656,Coffee Shop
Bethnal Green,51.5272449,-0.054751999999999995,Offie & Toffie,51.527049647057844,-0.05564014819369852,Convenience Store
Bethnal Green,51.5272449,-0.054751999999999995,V&A Museum of Childhood,51.529038,-0.054832,Museum
Bethnal Green,51.5272449,-0.054751999999999995,The Pill Box Kitchen,51.52530892375142,-0.057130686846530276,Café
Bethnal Green,51.5272449,-0.054751999999999995,The Sun Tavern,51.527251866790415,-0.05831422002258571,Bar
Bethnal Green,51.5272449,-0.054751999999999995,The East London Hotel,51.52870884272766,-0.05577128824039721,Hotel
Bethnal Green,51.5272449,-0.054751999999999995,Sodo Pizza - Bethnal Green,51.52973124754724,-0.05669266039684634,Pizza Place
Bethnal Green,51.5272449,-0.054751999999999995,Italina,51.53029848315733,-0.056227878816925786,Italian Restaurant
Bethnal Green,51.5272449,-0.054751999999999995,The Gallery Cafe,51.52974113252886,-0.05447271974846794,Café
Bethnal Green,51.5272449,-0.054751999999999995,St. John on Bethnal Green,51.5275048688889,-0.05506110300965171,Church
Bethnal Green,51.5272449,-0.054751999999999995,Town Hall Hotel & Apartments,51.53066528049453,-0.05521369153369485,Hotel
Bethnal Green,51.5272449,-0.054751999999999995,Crossfit London,51.5249343012573,-0.0544478999264641,Gym / Fitness Center
Bethnal Green,51.5272449,-0.054751999999999995,London Buddhist Centre,51.52804315975607,-0.051104748635907034,Buddhist Temple
Bethnal Green,51.5272449,-0.054751999999999995,Museum Gardens,51.52782093509215,-0.05552493962229354,Park
Bethnal Green,51.5272449,-0.054751999999999995,Florist Arms,51.52856490385794,-0.05131911842230492,Pub
Bethnal Green,51.5272449,-0.054751999999999995,The Camel,51.52904100672222,-0.05213723837700818,Pub
Bethnal Green,51.5272449,-0.054751999999999995,The Common,51.52937038873192,-0.06100062763170199,Coffee Shop
Bethnal Green,51.5272449,-0.054751999999999995,Resistance Gallery,51.52959961041002,-0.056661959197062975,Art Gallery
Bethnal Green,51.5272449,-0.054751999999999995,Bethnal Green Tavern,51.526996,-0.05848,Pub
Bethnal Green,51.5272449,-0.054751999999999995,London Cocktail Club,51.52860178115344,-0.055938976091205427,Cocktail Bar
Bethnal Green,51.5272449,-0.054751999999999995,The Old George,51.52701,-0.06083,Pub
Bethnal Green,51.5272449,-0.054751999999999995,Bethnal Green Gardens,51.526701598077565,-0.054781436920166016,Park
Bethnal Green,51.5272449,-0.054751999999999995,Zamoo,51.52695192685219,-0.060099242794457136,Falafel Restaurant
Bethnal Green,51.5272449,-0.054751999999999995,The Dundee Arms,51.529281,-0.056005,Pub
Bethnal Green,51.5272449,-0.054751999999999995,Coupette,51.52713295692342,-0.0590603970546924,Cocktail Bar
Bethnal Green,51.5272449,-0.054751999999999995,The Larder,51.528309173944926,-0.051151983378779936,Café
Bethnal Green,51.5272449,-0.054751999999999995,Backyard Comedy Bar & Kitchen,51.52538327760404,-0.0552535057067871,Comedy Club
Bethnal Green,51.5272449,-0.054751999999999995,Maureen Paley,51.52537482774445,-0.0557780403851393,Art Gallery
Bethnal Green,51.5272449,-0.054751999999999995,The Canary,51.52962626956666,-0.06014259377015942,Coffee Shop
Bethnal Green,51.5272449,-0.054751999999999995,KO Muaythai Gym,51.525533687236205,-0.0488955637567301,Gym
Bethnal Green,51.5272449,-0.054751999999999995,énergie Fitness,51.52525078031082,-0.057011714727200354,Gym
Bethnal Green,51.5272449,-0.054751999999999995,Fugitive Motel,51.524698,-0.055106,Beer Bar
Bethnal Green,51.5272449,-0.054751999999999995,Oxford House,51.526144690909156,-0.06122574044963619,Community College
Bethnal Green,51.5272449,-0.054751999999999995,Subway,51.5271019,-0.0600775,Sandwich Place
Bethnal Green,51.5272449,-0.054751999999999995,Iceland,51.527038795002056,-0.05884414046386326,Grocery Store
Bethnal Green,51.5272449,-0.054751999999999995,KFC,51.5267588,-0.0606354,Fast Food Restaurant
Bethnal Green,51.5272449,-0.054751999999999995,Astro Star Cafe,51.526911,-0.060669,Café
Bethnal Green,51.5272449,-0.054751999999999995,Carpenters Arms,51.52303144163246,-0.05518265325718235,Pub
Bethnal Green,51.5272449,-0.054751999999999995,McQueens,51.525303,-0.055038,Flower Shop
Bethnal Green,51.5272449,-0.054751999999999995,Bethnal Green Gardens Tennis Courts,51.52523975195817,-0.05452246712701292,Tennis Court
Bethnal Green,51.5272449,-0.054751999999999995,Tesco Metro,51.52703280040643,-0.061168293463992995,Grocery Store
Bow ,51.529605,-0.0140886,The Nunnery,51.52921418815608,-0.016973491519425572,Art Gallery
Bow ,51.529605,-0.0140886,City Lodge London,51.52839249656444,-0.018538194616148945,Hotel
Bow ,51.529605,-0.0140886,Nisa Local,51.528454381314255,-0.018997706431377992,Convenience Store
Bow ,51.529605,-0.0140886,Bow Bells,51.52822356299271,-0.01987026283520681,Pub
Bow ,51.529605,-0.0140886,Bus Stop K,51.52850054809427,-0.01730585055732524,Bus Stop
Bow ,51.529605,-0.0140886,Bow Riviera,51.52868437343503,-0.010352108869010898,Waterfront
Bow ,51.529605,-0.0140886,Marshgate Lane Bus Stop,51.531750450196334,-0.011909535575599423,Bus Stop
Bow ,51.529605,-0.0140886,Central House Gym,51.53163911996708,-0.011257231235504149,Gym
Bow ,51.529605,-0.0140886,Bus Stop,51.526863519557345,-0.010913780272144886,Bus Stop
Bow ,51.529605,-0.0140886,Tesco,51.526617259936565,-0.009787420354878673,Supermarket
Bow ,51.529605,-0.0140886,Pudding Mill Lane DLR Station,51.53396335770217,-0.01422107219696045,Light Rail Station
Chingford ,51.6325345,0.009470999999999999,Mamma Mia,51.63290742744428,0.007941029653985502,Italian Restaurant
Chingford ,51.6325345,0.009470999999999999,Caffè Nero,51.63166050435642,0.004758839114145851,Coffee Shop
Chingford ,51.6325345,0.009470999999999999,Chingford Plains,51.635902346433156,0.013311377544506174,Park
Chingford ,51.6325345,0.009470999999999999,Belgique,51.63212458074631,0.005857427437705804,Café
